emp_no,birth_date,first_name,last_name,gender,hire_date,salary
10004,1954-05-01,Chirstian,Koblick,M,1986-12-01,50594
10004,1954-05-01,Chirstian,Koblick,M,1986-12-01,52119
10004,1954-05-01,Chirstian,Koblick,M,1986-12-01,54693
10004,1954-05-01,Chirstian,Koblick,M,1986-12-01,58326
10006,1953-04-20,Anneke,Preusig,F,1989-06-02,52255
10006,1953-04-20,Anneke,Preusig,F,1989-06-02,53747
10006,1953-04-20,Anneke,Preusig,F,1989-06-02,56032
10006,1953-04-20,Anneke,Preusig,F,1989-06-02,58299
10006,1953-04-20,Anneke,Preusig,F,1989-06-02,59755
10007,1957-05-23,Tzvetan,Zielinski,F,1989-02-10,56724
10008,1958-02-19,Saniya,Kalloufi,M,1994-09-15,52668
10011,1953-11-07,Mary,Sluis,F,1990-01-22,50927
10011,1953-11-07,Mary,Sluis,F,1990-01-22,51470
10011,1953-11-07,Mary,Sluis,F,1990-01-22,54545
10011,1953-11-07,Mary,Sluis,F,1990-01-22,56753
10012,1960-10-04,Patricio,Bridgland,M,1992-12-18,51122
10012,1960-10-04,Patricio,Bridgland,M,1992-12-18,54794
10012,1960-10-04,Patricio,Bridgland,M,1992-12-18,54423
10013,1963-06-07,Eberhardt,Terkki,M,1985-10-20,50351
10013,1963-06-07,Eberhardt,Terkki,M,1985-10-20,53957
10013,1963-06-07,Eberhardt,Terkki,M,1985-10-20,57590
10013,1963-06-07,Eberhardt,Terkki,M,1985-10-20,59228
10013,1963-06-07,Eberhardt,Terkki,M,1985-10-20,59571
10014,1956-02-12,Berni,Genin,M,1987-03-11,50715
10014,1956-02-12,Berni,Genin,M,1987-03-11,53228
10014,1956-02-12,Berni,Genin,M,1987-03-11,53962
10014,1956-02-12,Berni,Genin,M,1987-03-11,56937
10014,1956-02-12,Berni,Genin,M,1987-03-11,59142
10018,1954-06-19,Kazuhide,Peha,F,1987-04-03,55881
10018,1954-06-19,Kazuhide,Peha,F,1987-04-03,59206
10019,1953-01-23,Lillian,Haddadi,M,1999-04-30,50032
10021,1960-02-20,Ramzi,Erde,M,1988-02-10,55025
10021,1960-02-20,Ramzi,Erde,M,1988-02-10,56399
10021,1960-02-20,Ramzi,Erde,M,1988-02-10,59700
10023,1953-09-29,Bojan,Montemayor,F,1989-12-17,50319
10023,1953-09-29,Bojan,Montemayor,F,1989-12-17,50113
10025,1958-10-31,Prasadram,Heyers,M,1987-08-17,50120
10025,1958-10-31,Prasadram,Heyers,M,1987-08-17,50980
10025,1958-10-31,Prasadram,Heyers,M,1987-08-17,54459
10025,1958-10-31,Prasadram,Heyers,M,1987-08-17,54395
